Num_ID	Taxon	Taxon1	Wi_Do	Tax_Wido	SNames	Order	PGeno	Isolate	LsMeans
6296	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	Fd1	0.440727786
6386	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	Fd2	0.437067862
6476	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	Fresa525	0.308777539
6566	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	FresaSD	0.592175692
6656	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	Gallo1	0.418413522
6746	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	Gallo2	0.064719102
6836	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	Geranium	0.439762422
6926	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	Grape	0.389602672
7016	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	KatieTomato	0.434390012
7106	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	KernA2	0.041296989
7196	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	KernB1	0.396310746
7286	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	KernB2	0.565305467
7376	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	KGB1	0.454797935
7466	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	KGB2	0.285637922
7556	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	MEAP6G	0.376659254
7646	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	Mex03	0.587250001
7736	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	Molly	0.730008365
7826	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	Navel	0.105477205
7916	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	NobleRot	0.415845531
8006	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	Peachy	0.129828538
8096	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	Pepper	0.587836523
8186	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	PepperSub	0.171844894
8276	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	PhiloMenlo	0.091713257
8366	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	Rasp	0.470937945
8456	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	Rose	0.369974558
8546	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	Supersteak	0.412799547
8636	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	Triple3	0.410707209
8726	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	Triple7	0.516674019
8816	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	UKRazz	0.559302764
87	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_01_01	0.174413735
177	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_01_02	0.100528018
267	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_01_03	0.142280077
357	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_01_04	0.16510547
447	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_01_06	0.169580441
537	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_01_15	0.051025457
627	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_02_01	0.167077962
717	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_02_02	0.136694827
807	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_02_03	0.128311403
897	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_02_04	0.13546691
987	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_02_05	NA
1077	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_02_06	0.241374357
1167	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_02_13	0.110382527
1257	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_02_15	0.182339571
1347	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_02_16	0.119304626
1437	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_02_17	0.115507014
1527	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_02_18	0.221971686
1617	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_02_20	0.103632018
1707	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_03_02	0.27048529
1797	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_03_04	0.277346107
1887	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_03_12	0.139699812
1977	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_03_16	0.134727089
2067	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_03_18	0.255582082
2157	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_03_19	0.142755946
2247	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_03_20	0.218364101
2337	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_03_22	0.105968853
2427	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_03_23	0.134135547
2517	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_04_01	0.148772817
2607	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_04_02	0.092217501
2697	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_04_03	0.302885717
2787	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_04_04	0.183095961
2877	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_04_05	0.143530004
2967	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_04_12	0.144866783
3057	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_04_15	0.123048451
3147	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_04_17	0.213868123
3237	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_04_19	0.128277153
3327	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_04_20	0.120987396
3417	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_04_21	0.160368848
3507	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_04_25	0.153803126
3597	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_05_04	0.126344463
3687	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_05_11	0.253886355
3777	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_05_14	0.108341831
3867	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_05_16	0.132519766
3957	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_05_17	0.249118227
4047	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_05_22	0.170914909
4137	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	01_05_24	0.185423512
4227	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	02_04_03	0.314369029
4317	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	02_04_04	0.283291496
4407	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	02_04_08	0.36903979
4497	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	02_04_09	0.306403259
4587	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	02_04_11	0.260518558
4677	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	02_04_12	0.319841978
4767	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	02_04_14	0.396842514
4857	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	02_04_17	0.411370504
4947	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	02_04_18	0.207397127
5037	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	02_04_20	0.426701318
5127	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	02_04_21	0.260613199
5217	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	2004	0.252932269
5307	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	94_1	NA
5397	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	94_4	0.142770204
5487	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	Acacia	0.214107988
5577	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	Apple404	0.391837127
5667	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	Apple517	0.428547112
5757	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	Ausubel	0.270469287
5847	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	B05_10	0.342769449
5937	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	BMM	0.20674884
6027	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	BPA1	0.336742479
6117	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	DavisNavel	0.191331566
6207	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	EsparatoFresa	0.160570015
6297	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	Fd1	0.278182354
6387	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	Fd2	0.212685025
6477	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	Fresa525	0.149749793
6567	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	FresaSD	0.307291204
6657	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	Gallo1	0.125683053
6747	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	Gallo2	0.057739928
6837	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	Geranium	0.16907966
6927	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	Grape	0.208021488
7017	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	KatieTomato	0.281888012
7107	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	KernA2	0.062571469
7197	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	KernB1	0.146450456
7287	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	KernB2	0.199756547
7377	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	KGB1	0.123858064
7467	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	KGB2	0.121936833
7557	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	MEAP6G	0.191203824
7647	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	Mex03	0.252652597
7737	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	Molly	0.268637308
7827	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	Navel	0.112905411
7917	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	NobleRot	0.23481669
8007	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	Peachy	0.111964359
8097	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	Pepper	0.287484172
8187	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	PepperSub	0.179355136
8277	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	PhiloMenlo	0.054178101
8367	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	Rasp	0.172182979
8457	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	Rose	0.116278046
8547	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	Supersteak	0.163131136
8637	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	Triple3	0.205407597
8727	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	Triple7	0.261095511
8817	Athaliana	R1	Col0	Athaliana	Col0	Brassica	Col0	UKRazz	0.175025405
34	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_01_01	0.36005131
124	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_01_02	0.525217009
214	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_01_03	0.393389375
304	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_01_04	0.524104973
394	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_01_06	0.457476909
484	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_01_15	0.330418
574	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_02_01	0.757901963
664	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_02_02	0.596066039
754	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_02_03	0.339109039
844	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_02_04	0.474668587
934	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_02_05	0.443401753
1024	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_02_06	0.35487546
1114	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_02_13	0.403369987
1204	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_02_15	0.383340807
1294	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_02_16	0.217898856
1384	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_02_17	0.387159104
1474	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_02_18	0.076287281
1564	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_02_20	0.472265148
1654	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_03_02	0.51537115
1744	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_03_04	0.582223524
1834	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_03_12	0.617353598
1924	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_03_16	0.573746567
2014	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_03_18	0.270661231
2104	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_03_19	0.421221271
2194	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_03_20	0.239423005
2284	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_03_22	0.576807525
2374	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_03_23	0.589933883
2464	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_04_01	0.612123307
2554	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_04_02	0.168831431
2644	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_04_03	0.480973715
2734	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_04_04	0.606386913
2824	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_04_05	0.411214781
2914	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_04_12	0.331802007
3004	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_04_15	0.343309356
3094	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_04_17	0.650991122
