"IsolateID" "emmean" "SE" "df" "lower.CL" "upper.CL" "Geno"
"1" "01_01_01" 0.565887815346895 0.0919836903849009 373.012745692388 0.38501623043352 0.74675940026027 "CL0J173.6.8"
"2" "01_01_02" 0.35797677851317 0.102695520183248 370.728023041911 0.156037999614278 0.559915557412062 "CL0J173.6.8"
"3" "01_01_03" 0.420495369786271 0.10256193900911 369.756000790534 0.21881752631189 0.622173213260653 "CL0J173.6.8"
"4" "01_01_04" 0.391570078936778 0.102345149297402 368.633427339887 0.190316518345466 0.59282363952809 "CL0J173.6.8"
"5" "01_01_06" 0.359541992151067 0.0925809194534689 376.372041239756 0.177501338137437 0.541582646164698 "CL0J173.6.8"
"6" "01_01_15" 0.314976867712681 0.0920454925845231 373.297923598815 0.133984208473957 0.495969526951406 "CL0J173.6.8"
"7" "01_02_01" 0.494804156980564 0.0850057179795029 380.536624625034 0.327664423473017 0.661943890488112 "CL0J173.6.8"
"8" "01_02_02" 0.428793944670645 0.102513961835062 369.553240391648 0.22721008034201 0.63037780899928 "CL0J173.6.8"
"9" "01_02_03" 0.269974528335246 0.0919837987437583 373.094761108321 0.0891028597706 0.450846196899892 "CL0J173.6.8"
"10" "01_02_04" 0.400635467477619 0.103233198336335 373.516561113787 0.197644370450682 0.603626564504555 "CL0J173.6.8"
"11" "01_02_05" 0.425522655924723 0.0919132172984643 372.736553721451 0.244789209433891 0.606256102415555 "CL0J173.6.8"
"12" "01_02_06" 0.498641148350664 0.102308244054492 368.390440378198 0.297459721891914 0.699822574809415 "CL0J173.6.8"
"13" "01_02_13" 0.746114023689811 0.10263388169048 370.210493906615 0.544295525697794 0.947932521681828 "CL0J173.6.8"
"14" "01_02_15" 0.511770587951744 0.0923246271309663 375.337200801517 0.330232263579889 0.6933089123236 "CL0J173.6.8"
"15" "01_02_16" 0.330558054371606 0.0843955322781498 376.87494959348 0.164612934702749 0.496503174040462 "CL0J173.6.8"
"16" "01_02_17" 0.235628859782563 0.0918656940921005 372.456762871771 0.0549884184661379 0.416269301098989 "CL0J173.6.8"
"17" "01_02_18" 0.186336013477962 0.0843591066384597 376.738350746788 0.0204623230071338 0.352209703948789 "CL0J173.6.8"
"18" "01_02_20" 0.449944803431561 0.0920531336039816 373.384196229278 0.268937255386541 0.63095235147658 "CL0J173.6.8"
"19" "01_03_02" 0.332013435103445 0.0919245880597637 372.767110548666 0.151257677995214 0.512769192211675 "CL0J173.6.8"
"20" "01_03_04" 0.290526547262527 0.0932425768548293 380.122256864134 0.107190719755748 0.473862374769307 "CL0J173.6.8"
"21" "01_03_12" 0.359798759634955 0.0847507422875141 378.519503049453 0.193157530590716 0.526439988679194 "CL0J173.6.8"
"22" "01_03_16" 0.365788014473722 0.0921797366168121 374.436888240647 0.184533179185205 0.54704284976224 "CL0J173.6.8"
"23" "01_03_18" 0.406251531415646 0.118546007008797 368.503947373753 0.173140008498813 0.639363054332479 "CL0J173.6.8"
"24" "01_03_19" 0.0981858319082005 0.0848990260171127 379.277451852345 -0.0687458901467452 0.265117553963146 "CL0J173.6.8"
"25" "01_03_20" 0.142942572333347 0.0844423973022857 377.093318884559 -0.023094387273216 0.308979531939909 "CL0J173.6.8"
"26" "01_03_22" 0.360402554194349 0.0844153688932548 376.832580313555 0.19441837009374 0.526386738294959 "CL0J173.6.8"
"27" "01_03_23" 0.46937911364667 0.0920662106092464 373.427861757561 0.288345920628079 0.65041230666526 "CL0J173.6.8"
